year,state_abbr,state_name,state_fips,region,division,total_pop_15to64,female_pop_15to64,male_pop_15to64,total_prison_pop,female_prison_pop,male_prison_pop
2009,TN,Tennessee,47,South,East South Central,4232127,2147153,2084974,26965,2009,24956
2008,TN,Tennessee,47,South,East South Central,4197481,2130102,2067379,27228,2129,25099
2007,TN,Tennessee,47,South,East South Central,4162607,2106878,2055729,26267,1923,24344
2006,TN,Tennessee,47,South,East South Central,4104176,2079277,2024899,25745,1958,23787
2005,TN,Tennessee,47,South,East South Central,4041817,2044134,1997683,26369,2022,24347
2004,TN,Tennessee,47,South,East South Central,3984206,2014464,1969742,25884,1905,23979
2003,TN,Tennessee,47,South,East South Central,3935101,1993204,1941897,25403,1826,23577
2002,TN,Tennessee,47,South,East South Central,3900791,1972126,1928665,24989,1735,23254
2001,TN,Tennessee,47,South,East South Central,3866227,1952987,1913240,23671,1468,22203
2000,TN,Tennessee,47,South,East South Central,3832538,1936243,1896295,22166,1369,20797
1999,TN,Tennessee,47,South,East South Central,3787182,1916382,1870800,22502,1368,21134
1998,TN,Tennessee,47,South,East South Central,3740658,1896377,1844281,21438,1260,20178
1997,TN,Tennessee,47,South,East South Central,3686785,1871861,1814924,16659,798,15861
1996,TN,Tennessee,47,South,East South Central,3622056,1839251,1782805,15626,688,14938
1995,TN,Tennessee,47,South,East South Central,3551139,1805014,1746125,15206,637,14569
1994,TN,Tennessee,47,South,East South Central,3479700,1770700,1709000,14401,587,13814
1993,TN,Tennessee,47,South,East South Central,3412368,1738153,1674215,12824,508,12316
1992,TN,Tennessee,47,South,East South Central,3356396,1711388,1645008,11849,528,11321
1991,TN,Tennessee,47,South,East South Central,3306965,1688373,1618592,11474,459,11015
1990,TN,Tennessee,47,South,East South Central,3261265,1666256,1595009,10388,390,9998
1989,TN,Tennessee,47,South,East South Central,3234452,1654137,1580315,10630,471,10159
1988,TN,Tennessee,47,South,East South Central,3220389,1647669,1572720,7732,402,7330
1987,TN,Tennessee,47,South,East South Central,3201154,1638682,1562472,7639,390,7249
1986,TN,Tennessee,47,South,East South Central,3164014,1620663,1543351,7591,413,7178
1985,TN,Tennessee,47,South,East South Central,3140199,1608704,1531495,7127,302,6825
1984,TN,Tennessee,47,South,East South Central,3109793,1594252,1515541,7307,314,6993
1983,TN,Tennessee,47,South,East South Central,3085477,1582280,1503197,8201,398,7803
1982,TN,Tennessee,47,South,East South Central,3073358,1576469,1496889,7869,380,7489
1981,TN,Tennessee,47,South,East South Central,3058695,1569528,1489167,7897,395,7502
1980,TN,Tennessee,47,South,East South Central,3035416,1558200,1477216,7022,336,6686
1979,TN,Tennessee,47,South,East South Central,2981853,1531465,1450388,6629,283,6346
1978,TN,Tennessee,47,South,East South Central,2921827,1500978,1420849,5835,261,5574
1977,TN,Tennessee,47,South,East South Central,2868032,1473928,1394104,5501,,
1976,TN,Tennessee,47,South,East South Central,2803890,1441719,1362171,4817,,
1975,TN,Tennessee,47,South,East South Central,2737084,1407989,1329095,4561,,
1974,TN,Tennessee,47,South,East South Central,2684396,1381853,1302543,3771,,
1973,TN,Tennessee,47,South,East South Central,2627667,1353863,1273804,3454,,
1972,TN,Tennessee,47,South,East South Central,2578972,1329955,1249017,3329,,
1971,TN,Tennessee,47,South,East South Central,2511933,1298306,1213627,3454,,
1970,TN,Tennessee,47,South,East South Central,2458998,1273644,1185354,3268,,
1969,TN,Tennessee,47,South,East South Central,2406085,1248994,1157091,3148,,
1968,TN,Tennessee,47,South,East South Central,,,,2999,,
1967,TN,Tennessee,47,South,East South Central,,,,2980,,
1966,TN,Tennessee,47,South,East South Central,,,,2968,,
1965,TN,Tennessee,47,South,East South Central,,,,3213,,
1964,TN,Tennessee,47,South,East South Central,,,,3187,,
1963,TN,Tennessee,47,South,East South Central,,,,3246,,
1962,TN,Tennessee,47,South,East South Central,,,,3167,,
1961,TN,Tennessee,47,South,East South Central,,,,3144,,
1960,TN,Tennessee,47,South,East South Central,,,,3134,,
1955,TN,Tennessee,47,South,East South Central,,,,2723,,
1950,TN,Tennessee,47,South,East South Central,,,,2780,,
2024,TX,Texas,48,South,West South Central,19863716,9788723,10074993,150353,,
2023,TX,Texas,48,South,West South Central,19863716,9788723,10074993,145716,,
2022,TX,Texas,48,South,West South Central,19863716,9788723,10074993,139631,11363,128268
2021,TX,Texas,48,South,West South Central,19560816,9638831,9921985,133772,10509,123263
2020,TX,Texas,48,South,West South Central,19327621,9523218,9804403,135906,10359,125547
2019,TX,Texas,48,South,West South Central,19096536,9421197,9675339,158429,13642,144787
2018,TX,Texas,48,South,West South Central,18883829,9329167,9554662,163628,14435,149193
2017,TX,Texas,48,South,West South Central,18696190,9246545,9449645,162523,13958,148565
2016,TX,Texas,48,South,West South Central,18480179,9152095,9328084,163703,14335,149368
2015,TX,Texas,48,South,West South Central,18215199,9033114,9182085,163909,14408,149501
2014,TX,Texas,48,South,West South Central,17902792,8894258,9008534,166043,14326,151717
2013,TX,Texas,48,South,West South Central,17612089,8763103,8848986,168280,13830,154450
2012,TX,Texas,48,South,West South Central,17387448,8664450,8722998,166372,13549,152823
2011,TX,Texas,48,South,West South Central,17138281,8555437,8582844,172224,14188,158036
2010,TX,Texas,48,South,West South Central,16871231,8430042,8441189,173649,14351,159298
2009,TX,Texas,48,South,West South Central,16589976,8290713,8299263,171249,13570,157679
2008,TX,Texas,48,South,West South Central,16281798,8132239,8149559,172506,13853,158653
2007,TX,Texas,48,South,West South Central,15983486,7980009,8003477,171790,13931,157859
2006,TX,Texas,48,South,West South Central,15666610,7816539,7850071,172116,13799,158317
2005,TX,Texas,48,South,West South Central,15280424,7612034,7668390,169003,13506,155497
2004,TX,Texas,48,South,West South Central,15005999,7473024,7532975,168105,13958,154147
2003,TX,Texas,48,South,West South Central,14744965,7339751,7405214,166911,13487,153424
2002,TX,Texas,48,South,West South Central,14505031,7207897,7297134,162003,13051,148952
2001,TX,Texas,48,South,West South Central,14225692,7067285,7158407,162070,12369,149701
2000,TX,Texas,48,South,West South Central,13939785,6923890,7015895,166719,13622,153097
1999,TX,Texas,48,South,West South Central,13639171,6779522,6859649,163190,12502,150688
1998,TX,Texas,48,South,West South Central,13339158,6637136,6702022,144510,10332,134178
1997,TX,Texas,48,South,West South Central,13033865,6489207,6544658,140351,10300,130051
1996,TX,Texas,48,South,West South Central,12734165,6344955,6389210,132383,9933,122450
1995,TX,Texas,48,South,West South Central,12478188,6221895,6256293,127766,7935,119831
1994,TX,Texas,48,South,West South Central,12173684,6075560,6098124,118195,8839,109356
1993,TX,Texas,48,South,West South Central,11893454,5942883,5950571,92013,6949,85064
1992,TX,Texas,48,South,West South Central,11627562,5815559,5812003,60467,2411,58056
1991,TX,Texas,48,South,West South Central,11398448,5707719,5690729,51677,2491,49186
1990,TX,Texas,48,South,West South Central,11191525,5605467,5586058,50042,2196,47846
1989,TX,Texas,48,South,West South Central,11083702,5555216,5528486,44022,2069,41953
1988,TX,Texas,48,South,West South Central,10975243,5502641,5472602,40437,1648,38789
1987,TX,Texas,48,South,West South Central,10980807,5506868,5473939,38821,1542,37279
1986,TX,Texas,48,South,West South Central,10973874,5506021,5467853,38534,1745,36789
1985,TX,Texas,48,South,West South Central,10782105,5412560,5369545,37532,1594,35938
1984,TX,Texas,48,South,West South Central,10601798,5326680,5275118,36682,1695,34987
1983,TX,Texas,48,South,West South Central,10427145,5240053,5187092,35259,1470,33789
1982,TX,Texas,48,South,West South Central,10120725,5088315,5032410,36149,1677,34472
1981,TX,Texas,48,South,West South Central,9703198,4877727,4825471,31502,1452,30050
1980,TX,Texas,48,South,West South Central,9415583,4733503,4682080,29892,1221,28671
1979,TX,Texas,48,South,West South Central,9087062,4572180,4514882,26522,1167,25355
1978,TX,Texas,48,South,West South Central,8789073,4424007,4365066,24575,1005,23570
1977,TX,Texas,48,South,West South Central,8541560,4302447,4239113,22517,,
1976,TX,Texas,48,South,West South Central,8304330,4185970,4118360,20717,,
1975,TX,Texas,48,South,West South Central,8012452,4046098,3966354,19053,,
1974,TX,Texas,48,South,West South Central,7769508,3924290,3845218,16833,,
1973,TX,Texas,48,South,West South Central,7555317,3818808,3736509,17238,,
1972,TX,Texas,48,South,West South Central,7332715,3712770,3619945,15709,,
1971,TX,Texas,48,South,West South Central,7120478,3617188,3503290,15989,,
1970,TX,Texas,48,South,West South Central,6927322,3531152,3396170,14331,,
1969,TX,Texas,48,South,West South Central,6734245,3445153,3289092,14014,,
1968,TX,Texas,48,South,West South Central,,,,12215,,
1967,TX,Texas,48,South,West South Central,,,,12313,,
1966,TX,Texas,48,South,West South Central,,,,12392,,
1965,TX,Texas,48,South,West South Central,,,,12854,,
1964,TX,Texas,48,South,West South Central,,,,12278,,
1963,TX,Texas,48,South,West South Central,,,,12084,,
1962,TX,Texas,48,South,West South Central,,,,12203,,
1961,TX,Texas,48,South,West South Central,,,,11890,,
1960,TX,Texas,48,South,West South Central,,,,11308,,
1955,TX,Texas,48,South,West South Central,,,,8622,,
1950,TX,Texas,48,South,West South Central,,,,6424,,
2024,US,National total,98,National total,National total,215578744,106862161,108716583,1252551,,
2023,US,National total,98,National total,National total,215578744,106862161,108716583,1241379,,
2022,US,National total,98,National total,National total,215578744,106862161,108716583,1217152,86362,1130790
2021,US,National total,98,National total,National total,215399217,106765375,108633842,1192847,82444,1110403
2020,US,National total,98,National total,National total,215618310,106874858,108743452,1210935,82797,1128138
2019,US,National total,98,National total,National total,215539865,106945862,108594003,1417646,106322,1311324
2018,US,National total,98,National total,National total,215195018,106923626,108271392,1451496,109249,1342247
2017,US,National total,98,National total,National total,214686909,106809129,107877780,1476226,109758,1366468
2016,US,National total,98,National total,National total,213922694,106567257,107355437,1495145,110219,1384926
2015,US,National total,98,National total,National total,212884736,106200963,106683773,1512802,109735,1403067
2014,US,National total,98,National total,National total,211742630,105791435,105951195,1546732,111110,1435622
2013,US,National total,98,National total,National total,210694682,105411217,105283465,1562419,109566,1452853
2012,US,National total,98,National total,National total,209727465,105066756,104660709,1555535,106967,1448568
2011,US,National total,98,National total,National total,208915457,104809784,104105673,1583900,109627,1474273
2010,US,National total,98,National total,National total,207258647,104082003,103176644,1598846,111195,1487651
2009,US,National total,98,National total,National total,205620881,103270948,102349933,1599934,111708,1488226
2008,US,National total,98,National total,National total,203979867,102414757,101565110,1593182,112889,1480293
2007,US,National total,98,National total,National total,202301226,101557997,100743229,1581511,112525,1468986
2006,US,National total,98,National total,National total,200281754,100515424,99766330,1552888,110398,1442490
2005,US,National total,98,National total,National total,197936820,99338750,98598070,1510697,105647,1405050
2004,US,National total,98,National total,National total,195542136,98125746,97416390,1482242,103085,1379157
2003,US,National total,98,National total,National total,193209442,96971771,96237671,1454024,99152,1354872
2002,US,National total,98,National total,National total,191131808,95854569,95277239,1424966,95898,1329068
2001,US,National total,98,National total,National total,188820502,94673364,94147138,1389263,91385,1297878
2000,US,National total,98,National total,National total,186813002,93688630,93124372,1380798,91686,1289112
1999,US,National total,98,National total,National total,184286959,92485946,91801013,1350663,89003,1261660
1998,US,National total,98,National total,National total,181754513,91274040,90480473,1294801,83619,1211182
1997,US,National total,98,National total,National total,179157964,90003623,89154341,1228330,77903,1150427
1996,US,National total,98,National total,National total,176547324,88724291,87823033,1170732,73593,1097139
1995,US,National total,98,National total,National total,174237364,87595755,86641609,1115919,67551,1048368
1994,US,National total,98,National total,National total,171992191,86505069,85487122,1045518,63568,981950
1993,US,National total,98,National total,National total,169920143,85491251,84428892,962496,57591,904905
1992,US,National total,98,National total,National total,167953322,84534092,83419230,875455,49745,825710
1991,US,National total,98,National total,National total,165924186,83602998,82321188,818716,47037,771679
1990,US,National total,98,National total,National total,164229455,82801720,81427735,767190,43400,723790
1989,US,National total,98,National total,National total,162916189,82216581,80699608,705371,39863,665508
1988,US,National total,98,National total,National total,161924607,81787379,80137228,620818,31947,588871
1987,US,National total,98,National total,National total,160803187,81281567,79521620,579203,28598,550605
1986,US,National total,98,National total,National total,159589791,80737088,78852703,539454,26105,513349
1985,US,National total,98,National total,National total,157972964,80009635,77963329,497548,22752,474796
1984,US,National total,98,National total,National total,156463227,79313445,77149782,457614,20493,437121
1983,US,National total,98,National total,National total,154961412,78624858,76336554,432747,18657,414090
1982,US,National total,98,National total,National total,153545853,77978624,75567229,409796,17527,392269
1981,US,National total,98,National total,National total,151991293,77243033,74748260,366378,15291,351087
1980,US,National total,98,National total,National total,150231260,76413569,73817691,326914,13229,313685
1979,US,National total,98,National total,National total,148003628,75307054,72696574,311360,12845,298515
1978,US,National total,98,National total,National total,145651645,74143858,71507787,304937,12624,292313
1977,US,National total,98,National total,National total,143267558,72950208,70317350,260737,573,12342
1976,US,National total,98,National total,National total,140922992,71783822,69139170,236437,547,12001
1975,US,National total,98,National total,National total,138374931,70526904,67848027,218619,517,11671
1974,US,National total,98,National total,National total,136024031,69361790,66662241,195844,458,10352
1973,US,National total,98,National total,National total,133667300,68206606,65460694,180396,375,9537
1972,US,National total,98,National total,National total,131212994,67011489,64201505,174379,318,8741
1971,US,National total,98,National total,National total,128549526,65789649,62759877,177113,307,8442
1970,US,National total,98,National total,National total,125990800,64613095,61377705,179431.25,117,4861
1969,US,National total,98,National total,National total,123433285,63437128,59996157,180468.5,,
1968,US,National total,98,National total,National total,,,,176648.25,,
1967,US,National total,98,National total,National total,,,,176288,,
1966,US,National total,98,National total,National total,,,,184465,,
1965,US,National total,98,National total,National total,,,,194232,,
1964,US,National total,98,National total,National total,,,,197213,,
1963,US,National total,98,National total,National total,,,,199238,,
1962,US,National total,98,National total,National total,,,,192598,,
1961,US,National total,98,National total,National total,,,,202173,,
1960,US,National total,98,National total,National total,,,,195103,,
1955,US,National total,98,National total,National total,,,,170914,,
1950,US,National total,98,National total,National total,,,,153443,,
2024,UT,Utah,49,West,Mountain,2213398,1079096,1134302,6469,,
2023,UT,Utah,49,West,Mountain,2213398,1079096,1134302,6234,,
2022,UT,Utah,49,West,Mountain,2213398,1079096,1134302,6009,442,5567
2021,UT,Utah,49,West,Mountain,2178023,1063554,1114469,5911,482,5429
2020,UT,Utah,49,West,Mountain,2133562,1041716,1091846,5448,373,5075
2019,UT,Utah,49,West,Mountain,2095368,1024739,1070629,6671,582,6089
2018,UT,Utah,49,West,Mountain,2056168,1006813,1049355,6651,575,6076
2017,UT,Utah,49,West,Mountain,2015112,988421,1026691,6219,493,5726
2016,UT,Utah,49,West,Mountain,1970281,967948,1002333,6175,406,5769
2015,UT,Utah,49,West,Mountain,1925935,947432,978503,6495,515,5980
2014,UT,Utah,49,West,Mountain,1892355,932614,959741,7031,662,6369
2013,UT,Utah,49,West,Mountain,1864710,919937,944773,7077,662,6415
2012,UT,Utah,49,West,Mountain,1834733,906295,928438,6962,639,6323
2011,UT,Utah,49,West,Mountain,1809106,895140,913966,6879,613,6266
2010,UT,Utah,49,West,Mountain,1780780,881735,899045,6807,608,6199
2009,UT,Utah,49,West,Mountain,1750380,867006,883374,6538,582,5956
2008,UT,Utah,49,West,Mountain,1718246,851377,866869,6552,640,5912
2007,UT,Utah,49,West,Mountain,1682310,832958,849352,6515,632,5883
2006,UT,Utah,49,West,Mountain,1639749,812439,827310,6433,623,5810
2005,UT,Utah,49,West,Mountain,1599826,792999,806827,6382,575,5807
2004,UT,Utah,49,West,Mountain,1564452,775423,789029,5991,511,5480
2003,UT,Utah,49,West,Mountain,1538229,762038,776191,5763,427,5336
2002,UT,Utah,49,West,Mountain,1515321,750941,764380,5562,371,5191
2001,UT,Utah,49,West,Mountain,1485736,736918,748818,5339,315,5024
2000,UT,Utah,49,West,Mountain,1456590,722440,734150,5637,381,5256
1999,UT,Utah,49,West,Mountain,1426754,708240,718514,5322,355,4967
1998,UT,Utah,49,West,Mountain,1400777,696319,704458,4907,317,4590
1997,UT,Utah,49,West,Mountain,1367958,680777,687181,4301,213,4088
1996,UT,Utah,49,West,Mountain,1329768,662336,667432,4002,211,3791
1995,UT,Utah,49,West,Mountain,1284712,640306,644406,3471,161,3310
1994,UT,Utah,49,West,Mountain,1236609,616875,619734,3045,131,2914
1993,UT,Utah,49,West,Mountain,1183115,590977,592138,2888,123,2765
1992,UT,Utah,49,West,Mountain,1132882,566528,566354,2699,124,2575
1991,UT,Utah,49,West,Mountain,1083801,543091,540710,2625,120,2505
1990,UT,Utah,49,West,Mountain,1044629,524252,520377,2496,125,2371
1989,UT,Utah,49,West,Mountain,1022397,513263,509134,2394,109,2285
1988,UT,Utah,49,West,Mountain,1010408,507168,503240,1961,89,1872
1987,UT,Utah,49,West,Mountain,1003355,503572,499783,1853,75,1778
1986,UT,Utah,49,West,Mountain,998175,500883,497292,1776,72,1704
1985,UT,Utah,49,West,Mountain,982656,493089,489567,1633,63,1570
1984,UT,Utah,49,West,Mountain,968284,486213,482071,1504,48,1456
1983,UT,Utah,49,West,Mountain,950129,477458,472671,1274,51,1223
1982,UT,Utah,49,West,Mountain,934462,470066,464396,1216,47,1169
1981,UT,Utah,49,West,Mountain,911777,458792,452985,1140,41,1099
1980,UT,Utah,49,West,Mountain,895166,450564,444602,932,27,905
1979,UT,Utah,49,West,Mountain,864952,435294,429658,960,34,926
1978,UT,Utah,49,West,Mountain,835344,420442,414902,911,36,875
1977,UT,Utah,49,West,Mountain,807186,406159,401027,889,,
1976,UT,Utah,49,West,Mountain,779632,392470,387162,743,,
1975,UT,Utah,49,West,Mountain,753755,379594,374161,657,,
1974,UT,Utah,49,West,Mountain,728774,367071,361703,548,,
1973,UT,Utah,49,West,Mountain,706612,356018,350594,519,,
1972,UT,Utah,49,West,Mountain,681544,343997,337547,581,,
1971,UT,Utah,49,West,Mountain,657013,332683,324330,590,,
1970,UT,Utah,49,West,Mountain,634780,322544,312236,491,,
1969,UT,Utah,49,West,Mountain,612581,312422,300159,488,,
1968,UT,Utah,49,West,Mountain,,,,640,,
1967,UT,Utah,49,West,Mountain,,,,651,,
1966,UT,Utah,49,West,Mountain,,,,659,,
1965,UT,Utah,49,West,Mountain,,,,701,,
1964,UT,Utah,49,West,Mountain,,,,661,,
1963,UT,Utah,49,West,Mountain,,,,692,,
1962,UT,Utah,49,West,Mountain,,,,653,,
1961,UT,Utah,49,West,Mountain,,,,638,,
1960,UT,Utah,49,West,Mountain,,,,553,,
1955,UT,Utah,49,West,Mountain,,,,554,,
1950,UT,Utah,49,West,Mountain,,,,562,,
2024,VA,Virginia,51,South,South Atlantic,5682198,2824344,2857854,27417,,
2023,VA,Virginia,51,South,South Atlantic,5682198,2824344,2857854,27247,,
2022,VA,Virginia,51,South,South Atlantic,5682198,2824344,2857854,27162,1836,25326
2021,VA,Virginia,51,South,South Atlantic,5690678,2827820,2862858,30357,2238,28119
2020,VA,Virginia,51,South,South Atlantic,5694758,2831726,2863032,31838,2362,29476
2019,VA,Virginia,51,South,South Atlantic,5692468,2834070,2858398,36091,3001,33090
2018,VA,Virginia,51,South,South Atlantic,5682908,2833556,2849352,36660,3040,33620
2017,VA,Virginia,51,South,South Atlantic,5680032,2834570,2845462,37158,3154,34004
2016,VA,Virginia,51,South,South Atlantic,5663730,2830077,2833653,37813,3109,34704
2015,VA,Virginia,51,South,South Atlantic,5651126,2827191,2823935,38403,3236,35167
2014,VA,Virginia,51,South,South Atlantic,5634557,2823895,2810662,37544,3015,34529
2013,VA,Virginia,51,South,South Atlantic,5612732,2817390,2795342,36982,2849,34133
2012,VA,Virginia,51,South,South Atlantic,5586497,2808506,2777991,37044,2894,34150
2011,VA,Virginia,51,South,South Atlantic,5555703,2796772,2758931,38130,2809,35321
2010,VA,Virginia,51,South,South Atlantic,5506734,2775319,2731415,37638,2848,34790
2009,VA,Virginia,51,South,South Atlantic,5445611,2746055,2699556,38059,2903,35156
2008,VA,Virginia,51,South,South Atlantic,5389514,2715586,2673928,38216,2967,35249
2007,VA,Virginia,51,South,South Atlantic,5343959,2692842,2651117,37984,2929,35055
2006,VA,Virginia,51,South,South Atlantic,5292245,2665512,2626733,36688,2893,33795
2005,VA,Virginia,51,South,South Atlantic,5217248,2630709,2586539,35344,2668,32676
2004,VA,Virginia,51,South,South Atlantic,5139117,2592392,2546725,35564,2706,32858
2003,VA,Virginia,51,South,South Atlantic,5056652,2547552,2509100,35067,2681,32386
2002,VA,Virginia,51,South,South Atlantic,4996643,2513014,2483629,34973,2641,32332
2001,VA,Virginia,51,South,South Atlantic,4929634,2474420,2455214,31662,2240,29422
2000,VA,Virginia,51,South,South Atlantic,4856174,2437312,2418862,30168,2059,28109
1999,VA,Virginia,51,South,South Atlantic,4774612,2398673,2375939,29789,2011,27778
1998,VA,Virginia,51,South,South Atlantic,4699260,2361839,2337421,30276,1857,28419
1997,VA,Virginia,51,South,South Atlantic,4656429,2339218,2317211,28385,1710,26675
1996,VA,Virginia,51,South,South Atlantic,4600521,2308929,2291592,27655,1687,25968
1995,VA,Virginia,51,South,South Atlantic,4541816,2277735,2264081,27415,1659,25756
1994,VA,Virginia,51,South,South Atlantic,4490660,2249502,2241158,26968,1565,25403
1993,VA,Virginia,51,South,South Atlantic,4437501,2220755,2216746,22850,1219,21631
1992,VA,Virginia,51,South,South Atlantic,4377438,2189802,2187636,21199,1163,20036
1991,VA,Virginia,51,South,South Atlantic,4308977,2158980,2149997,19829,1040,18789
1990,VA,Virginia,51,South,South Atlantic,4270099,2139091,2131008,17593,927,16666
1989,VA,Virginia,51,South,South Atlantic,4216440,2115975,2100465,16477,794,15683
1988,VA,Virginia,51,South,South Atlantic,4177203,2095869,2081334,14184,588,13596
1987,VA,Virginia,51,South,South Atlantic,4112612,2060632,2051980,13321,499,12822
1986,VA,Virginia,51,South,South Atlantic,4032817,2023084,2009733,12930,488,12442
1985,VA,Virginia,51,South,South Atlantic,3958509,1989799,1968710,12073,469,11604
1984,VA,Virginia,51,South,South Atlantic,3905807,1960891,1944916,10839,433,10406
1983,VA,Virginia,51,South,South Atlantic,3839445,1929512,1909933,10093,381,9712
1982,VA,Virginia,51,South,South Atlantic,3785855,1904152,1881703,10079,364,9715
1981,VA,Virginia,51,South,South Atlantic,3751220,1885379,1865841,9388,348,9040
1980,VA,Virginia,51,South,South Atlantic,3681211,1854341,1826870,8920,303,8617
1979,VA,Virginia,51,South,South Atlantic,3637285,1830958,1806327,8449,301,8148
1978,VA,Virginia,51,South,South Atlantic,3592483,1807022,1785461,8344,359,7985
1977,VA,Virginia,51,South,South Atlantic,3514909,1769789,1745120,7659,,
1976,VA,Virginia,51,South,South Atlantic,3439964,1732039,1707925,6180,,
1975,VA,Virginia,51,South,South Atlantic,3359389,1689335,1670054,5497,,
1974,VA,Virginia,51,South,South Atlantic,3279731,1649273,1630458,5032,,
1973,VA,Virginia,51,South,South Atlantic,3204268,1612020,1592248,5100,,
1972,VA,Virginia,51,South,South Atlantic,3125886,1569499,1556387,4946,,
1971,VA,Virginia,51,South,South Atlantic,3050463,1531150,1519313,4981,,
1970,VA,Virginia,51,South,South Atlantic,2980052,1495294,1484758,4648,,
1969,VA,Virginia,51,South,South Atlantic,2909653,1459444,1450209,4407,,
1968,VA,Virginia,51,South,South Atlantic,,,,4126,,
1967,VA,Virginia,51,South,South Atlantic,,,,4033,,
1966,VA,Virginia,51,South,South Atlantic,,,,4220,,
1965,VA,Virginia,51,South,South Atlantic,,,,4553,,
1964,VA,Virginia,51,South,South Atlantic,,,,4873,,
1963,VA,Virginia,51,South,South Atlantic,,,,5103,,
1962,VA,Virginia,51,South,South Atlantic,,,,5303,,
1961,VA,Virginia,51,South,South Atlantic,,,,5734,,
1960,VA,Virginia,51,South,South Atlantic,,,,5775,,
1955,VA,Virginia,51,South,South Atlantic,,,,4869,,
1950,VA,Virginia,51,South,South Atlantic,,,,4439,,
2024,VT,Vermont,50,Northeast,New England,414638,205444,209194,1374,,
2023,VT,Vermont,50,Northeast,New England,414638,205444,209194,1345,,
2022,VT,Vermont,50,Northeast,New England,414638,205444,209194,814,48,766
2021,VT,Vermont,50,Northeast,New England,417689,206929,210760,867,46,821
2020,VT,Vermont,50,Northeast,New England,417054,206562,210492,907,48,859
2019,VT,Vermont,50,Northeast,New England,419480,207983,211497,1137,85,1052
2018,VT,Vermont,50,Northeast,New England,421283,209325,211958,1173,96,1077
2017,VT,Vermont,50,Northeast,New England,423083,210546,212537,1126,105,1021
2016,VT,Vermont,50,Northeast,New England,424381,211325,213056,1229,83,1146
2015,VT,Vermont,50,Northeast,New England,426859,212923,213936,1290,83,1207
2014,VT,Vermont,50,Northeast,New England,427617,213635,213982,1508,105,1403
2013,VT,Vermont,50,Northeast,New England,429408,214761,214647,1575,96,1479
2012,VT,Vermont,50,Northeast,New England,430243,215436,214807,1516,73,1443
2011,VT,Vermont,50,Northeast,New England,432382,216662,215720,1598,102,1496
2010,VT,Vermont,50,Northeast,New England,430742,216219,214523,1649,98,1551
2009,VT,Vermont,50,Northeast,New England,430508,216143,214365,1724,98,1626
2008,VT,Vermont,50,Northeast,New England,430669,216044,214625,1618,77,1541
2007,VT,Vermont,50,Northeast,New England,431334,216363,214971,1618,77,1541
2006,VT,Vermont,50,Northeast,New England,431077,216129,214948,1634,105,1529
2005,VT,Vermont,50,Northeast,New England,429019,215090,213929,1542,94,1448
2004,VT,Vermont,50,Northeast,New England,426388,214051,212337,1451,80,1371
2003,VT,Vermont,50,Northeast,New England,423271,212377,210894,1401,84,1317
2002,VT,Vermont,50,Northeast,New England,419856,210434,209422,1321,81,1240
2001,VT,Vermont,50,Northeast,New England,415394,208612,206782,1313,57,1256
2000,VT,Vermont,50,Northeast,New England,411520,206922,204598,1313,44,1269
1999,VT,Vermont,50,Northeast,New England,407041,204597,202444,1178,41,1137
1998,VT,Vermont,50,Northeast,New England,402964,202598,200366,959,22,937
1997,VT,Vermont,50,Northeast,New England,398715,200381,198334,828,34,794
1996,VT,Vermont,50,Northeast,New England,393894,197886,196008,801,21,780
1995,VT,Vermont,50,Northeast,New England,389742,195684,194058,1048,32,1016
1994,VT,Vermont,50,Northeast,New England,385479,193529,191950,981,32,949
1993,VT,Vermont,50,Northeast,New England,381791,191648,190143,893,28,865
1992,VT,Vermont,50,Northeast,New England,379452,190544,188908,865,23,842
1991,VT,Vermont,50,Northeast,New England,377833,189805,188028,733,24,709
1990,VT,Vermont,50,Northeast,New England,377249,189546,187703,681,23,658
1989,VT,Vermont,50,Northeast,New England,373320,187776,185544,626,26,600
1988,VT,Vermont,50,Northeast,New England,368189,185360,182829,553,19,534
1987,VT,Vermont,50,Northeast,New England,361229,182023,179206,505,8,497
1986,VT,Vermont,50,Northeast,New England,356843,179915,176928,439,4,435
1985,VT,Vermont,50,Northeast,New England,353158,178208,174950,443,10,433
1984,VT,Vermont,50,Northeast,New England,349945,176740,173205,378,9,369
1983,VT,Vermont,50,Northeast,New England,346971,175409,171562,378,5,373
1982,VT,Vermont,50,Northeast,New England,343509,173874,169635,435,8,427
1981,VT,Vermont,50,Northeast,New England,340748,172570,168178,395,9,386
1980,VT,Vermont,50,Northeast,New England,337952,171306,166646,342,6,336
1979,VT,Vermont,50,Northeast,New England,331388,167910,163478,311,9,302
1978,VT,Vermont,50,Northeast,New England,323861,164073,159788,351,9,342
1977,VT,Vermont,50,Northeast,New England,316933,160514,156419,416,,
1976,VT,Vermont,50,Northeast,New England,309292,156590,152702,307,,
1975,VT,Vermont,50,Northeast,New England,302226,152952,149274,244,,
1974,VT,Vermont,50,Northeast,New England,295303,149474,145829,242,,
1973,VT,Vermont,50,Northeast,New England,289707,146703,143004,188,,
1972,VT,Vermont,50,Northeast,New England,283267,143642,139625,139,,
1971,VT,Vermont,50,Northeast,New England,274643,139632,135011,212,,
1970,VT,Vermont,50,Northeast,New England,267596,136388,131208,162,,
1969,VT,Vermont,50,Northeast,New England,260565,133154,127411,170,,
1968,VT,Vermont,50,Northeast,New England,,,,226,,
