Complaint_ID,Tax_ID,Board_Discipline_Recommendation,Officer_is_APU,Officer_Penalty
201500005,936536,,No,Formalized Training
200800410,936148,,No,Command Discipline - A
200910763,943509,,No,No penalty
202003715,924542,Substantiated (Charges),Yes,
200712858,925131,,No,Instructions
201001696,941148,,No,Command Discipline - B
202306448,935025,Substantiated (Command Discipline A),No,No penalty
201908017,941905,Substantiated (Charges),Yes,
201017511,934735,,No,Command Discipline - B
202305394,973546,Substantiated (Charges),Yes,
200205185,926276,,No,Instructions
200909657,925449,,No,Command Discipline - B
200203903,901657,,No,Command Discipline - B
202100615,951381,Substantiated (Charges),Yes,APU - Decision Pending
202309588,965356,Substantiated (Command Discipline A),No,Command Discipline - A
201608013,932745,,No,Instructions
202200401,965826,Substantiated (Command Discipline A),No,Command Discipline - A
202300217,954455,Substantiated (Command Discipline A),No,No penalty
201311559,916965,,No,Instructions
201606760,930184,,No,No penalty
201605625,938833,,No,Formalized Training
200002877,886296,,No,
200300875,914687,,No,Command Discipline - A
202003500,956547,Substantiated (Charges),Yes,
200207647,910638,,No,Instructions
201506493,943021,,No,Formalized Training
202203041,958533,Substantiated (Formalized Training),No,
200406204,924693,,No,Instructions
202205652,967710,Substantiated (Command Discipline A),No,No penalty
202402600,967039,Substantiated (Charges),Yes,
202007689,959678,Substantiated (Command Discipline A),No,No penalty
202008487,924542,Substantiated (Command Discipline A),No,Command Discipline - A
200205206,919349,,No,No penalty
202101320,925607,Substantiated (Command Discipline B),No,Retired
202004677,941601,Substantiated (Command Discipline A),No,Command Discipline - A
202204559,959452,Substantiated (Charges),Yes,APU - Decision Pending
202105928,951430,Substantiated (Charges),Yes,Forfeit vacation 1 days / Command Discipline A
202105030,924884,Substantiated (Command Discipline B),No,No penalty
202003240,958971,Substantiated (Charges),Yes,
202008350,955137,Substantiated (Charges),Yes,APU - Decision Pending
202304485,968108,Substantiated (Command Discipline A),No,No penalty
200808935,932764,,No,Command Discipline - B
201607176,953654,,No,Command Discipline - A
